rank,company,revenue ($ millions),profit ($ millions),Sector
243,Clorox,1646.5,52.7,Consumer Defensive
244,Imcera Group,1646.4,88.2,Healthcare
245,Witco,1641.0,73.5,Basic Materials
246,WestPoint Stevens,1634.1,-0.6,Consumer Cyclical
247,Fruit of the Loom,1628.1,111.0,Consumer Cyclical
248,Conner Peripherals,1626.5,92.5,Technology
249,ARMCO,1624.0,-336.5,Basic Materials
250,Joy Global,1623.9,64.6,Industrials
251,General Signal,1620.0,54.2,Industrials
252,Shaw Industries,1607.8,33.1,Consumer Cyclical
253,Freeport-McMoran,1603.3,41.0,Basic Materials
254,National Service Industries,1601.7,32.2,Industrials
255,Furniture Brands Intl.,1597.1,-176.3,Consumer Cyclical
256,Cabot,1579.9,127.3,Basic Materials
257,Lafarge,1568.8,-50.4,Basic Materials
258,Oryx Energy,1537.0,19.0,Energy
259,Bausch & Lomb,1535.5,27.6,Healthcare
260,Duracell International,1524.1,-34.2,Industrials
261,Reliance Electric,1516.0,34.0,Industrials
262,Metaldyne,1501.7,-9.0,Industrials
263,Deluxe,1490.2,182.9,Communication Services
264,Lubrizol,1485.1,123.7,Basic Materials
265,Nucor,1466.7,64.7,Basic Materials
266,Federal Paper Board,1435.0,82.4,Basic Materials
267,Del Monte Foods,1435.0,-27.0,Consumer Defensive
268,American Greetings,1431.8,82.5,Consumer Cyclical
269,McCormick,1427.9,80.9,Consumer Defensive
270,Fleetwood Enterprises,1415.2,30.4,Consumer Cyclical
271,Washington Post,1397.6,70.8,Communication Services
272,DR Holdings Inc. of Delaware,1391.1,N.A.,NaN
273,Rohr,1386.2,30.5,Industrials
274,Varian Associates,1380.7,57.5,Healthcare
275,Coltec Industries,1373.0,83.8,Industrials
276,Nacco Industries,1369.2,20.5,Energy
277,Nalco Chemical,1353.1,137.8,Basic Materials
278,Great Lakes Chemical,1347.9,157.5,Basic Materials
279,Tektronix,1330.9,48.3,Technology
280,Great American Mgmt. & Inv.,1330.3,37.7,Financial Services
281,Walter Industries,1327.5,14.5,Basic Materials
282,Zenith Electronics,1321.6,-51.6,Technology
283,Crane,1302.5,22.7,Industrials
284,E.W. Scripps,1299.6,64.6,Communication Services
285,Bowater,1290.5,45.6,Basic Materials
286,Thiokol,1269.8,53.4,Industrials
287,Gold Kist Holdings,1268.2,N.A.,Energy
288,Trinity Industries,1263.2,30.1,Industrials
289,Federal-Mogul,1251.7,-4.9,Consumer Cyclical
290,Raychem,1249.5,-23.4,Technology
291,Amoskeag,1244.4,1.3,Consumer Cyclical
292,Figgie International,1243.5,30.1,Industrials
293,Potlatch,1242.5,55.8,Real Estate
294,Data General,1237.0,85.6,Technology
295,Advanced Micro Devices,1226.6,145.3,Technology
296,Tecumseh Products,1226.4,42.5,Industrials
297,Triarc,1222.3,-16.9,Consumer Cyclical
298,Hartmarx,1215.3,-38.4,Consumer Cyclical
299,Hillenbrand Industries,1209.4,89.2,Industrials
300,Intergraph,1204.7,71.1,Technology
